epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.1043,1.30973,2.81329,1.36041,0.45466,0.51736,0.41538,0.2336,1.29239,2.1956,1.38841,0.00330357,0.00330357,0.00330357
2,37.8867,1.29059,1.94296,1.29282,0.52159,0.56027,0.54454,0.28206,1.39586,1.87423,1.43649,0.00662376,0.00662376,0.00662376
3,55.3752,1.3523,1.81107,1.34644,0.44445,0.42018,0.38093,0.18449,1.62857,2.28201,1.69873,0.00993076,0.00993076,0.00993076
4,74.0774,1.41453,1.73025,1.39012,0.39111,0.35405,0.33664,0.13989,1.92484,2.35697,1.8789,0.0099406,0.0099406,0.0099406
5,93.4467,1.44118,1.62737,1.421,0.43378,0.53008,0.46687,0.21413,1.69713,1.85409,1.79162,0.0099208,0.0099208,0.0099208
6,111.29,1.41778,1.51158,1.37669,0.52628,0.575,0.56617,0.29256,1.53467,1.6731,1.56754,0.009901,0.009901,0.009901
7,129.204,1.42144,1.45744,1.40265,0.56058,0.55907,0.57235,0.30328,1.45023,1.58672,1.52618,0.0098812,0.0098812,0.0098812
8,147.848,1.41243,1.41034,1.37884,0.67089,0.62874,0.69345,0.38171,1.35987,1.28265,1.45624,0.0098614,0.0098614,0.0098614
9,166.012,1.36256,1.33359,1.35752,0.62442,0.65231,0.689,0.38512,1.3793,1.29321,1.42561,0.0098416,0.0098416,0.0098416
10,183.384,1.35639,1.27869,1.36852,0.66389,0.61895,0.67856,0.36613,1.40164,1.2896,1.44802,0.0098218,0.0098218,0.0098218
11,201.993,1.33977,1.27203,1.32528,0.64844,0.59374,0.63705,0.36952,1.41235,1.41167,1.44685,0.009802,0.009802,0.009802
12,220.512,1.33357,1.23668,1.3372,0.6239,0.63696,0.6671,0.38708,1.34022,1.22837,1.41544,0.0097822,0.0097822,0.0097822
13,238.002,1.35407,1.23021,1.33948,0.70931,0.68794,0.7437,0.4161,1.32554,1.13692,1.42082,0.0097624,0.0097624,0.0097624
14,255.451,1.31145,1.17692,1.32259,0.78788,0.6494,0.75946,0.44566,1.33385,1.14049,1.41871,0.0097426,0.0097426,0.0097426
